rank,win_rate,n_battles_total,n_wins,n_losses,n_ties,n_records,team_set_ids,source_counts_json
1,0.851852,27,23,4,0,3,articuno_auto_choicespecs_1 chien_pao_auto_focussash_1 dondozo_auto_leftovers_1 dragonite_auto_choiceband_1 ninetales_alola_auto_lightclay_1 tatsugiri_auto_choicescarf_1,"{""catalog"": 3}"
2,0.833333,12,10,2,0,1,articuno_auto_nevermeltice_2 basculegion_auto_choicescarf_5 dragapult_auto_choiceband_1 empoleon_auto_leftovers_3 latios_auto_focussash_2 scizor_auto_clearamulet_3,"{""model_guided_v1"": 1}"
3,0.800000,15,12,3,0,1,articuno_auto_choicespecs_1 cresselia_auto_safetygoggles_2 cresselia_auto_sitrus_3 flutter_mane_main_booster gyarados_auto_safetygoggles_3 iron_valiant_auto_boosterenergy_1,"{""random"": 1}"
4,0.750000,12,9,3,0,1,cresselia_auto_rockyhelmet_4 empoleon_auto_assaultvest_4 excadrill_auto_life_3 rillaboom_auto_sitrus_4 tyranitar_auto_choicespecs_4 urshifu_rapid_strike_auto_choiceband_4,"{""auto_iter_2_random"": 1}"
5,0.740741,27,20,7,0,3,articuno_auto_choicespecs_1 dondozo_auto_leftovers_1 glimmora_auto_powerherb_1 ninetales_alola_auto_lightclay_1 regigigas_auto_life_1 tatsugiri_auto_choicescarf_1,"{""catalog"": 3}"
6,0.666667,36,24,12,0,3,corviknight_auto_leftovers_4 dragonite_auto_assaultvest_3 kingambit_auto_blackglasses_1 landorus_therian_auto_choicescarf_2 primarina_auto_life_2 venusaur_auto_life_1,"{""auto_iter_1_model"": 3}"
7,0.666667,27,18,9,0,3,farigiraf_auto_sitrus_1 flutter_mane_main_booster hatterene_auto_life_1 indeedee_f_auto_rockyhelmet_1 torkoal_auto_charcoal_1 ursaluna_auto_flame_1,"{""catalog"": 3}"
8,0.666667,27,18,9,0,3,gholdengo_auto_leftovers_1 incineroar_main_goggles raging_bolt_auto_boosterenergy_1 rillaboom_auto_assaultvest_1 tornadus_main_sash urshifu_rs_main_scarf,"{""catalog"": 3}"
9,0.666667,27,18,9,0,3,articuno_auto_choicespecs_1 ninetales_alola_auto_lightclay_1 ogerpon_wellspring_auto_wellspringmask_1 raging_bolt_auto_boosterenergy_1 tornadus_main_sash urshifu_rs_main_scarf,"{""catalog"": 3}"
10,0.666667,27,18,9,0,3,articuno_auto_choicespecs_1 dondozo_auto_leftovers_1 glimmora_auto_powerherb_1 ninetales_alola_auto_lightclay_1 roaring_moon_auto_boosterenergy_1 tatsugiri_auto_choicescarf_1,"{""catalog"": 3}"
11,0.666667,24,16,8,0,2,arcanine_hisui_auto_abilityshield_3 armarouge_auto_focussash_5 armarouge_auto_powerherb_4 indeedee_auto_focussash_1 milotic_auto_assaultvest_4 ogerpon_auto_razorclaw_4,"{""auto_iter_1_model"": 2}"
12,0.666667,12,8,4,0,1,iron_bundle_auto_focussash_2 politoed_auto_damprock_2 primarina_auto_assaultvest_4 sinistcha_auto_rockyhelmet_2 thundurus_auto_covertcloak_2 weezing_auto_shuca_3,"{""model_guided_v1"": 1}"
13,0.666667,12,8,4,0,1,archaludon_auto_powerherb_1 cresselia_auto_rockyhelmet_4 entei_auto_choiceband_2 ninetales_alola_auto_icyrock_5 ogerpon_wellspring_auto_wellspringmask_1 scizor_auto_clearamulet_3,"{""model_guided_v1"": 1}"
14,0.666667,12,8,4,0,1,dragapult_auto_focussash_5 farigiraf_auto_safetygoggles_4 gastrodon_auto_safetygoggles_5 oranguru_auto_safetygoggles_4 raging_bolt_auto_magnet_5 salamence_auto_choicescarf_4,"{""auto_iter_1_model"": 1}"
15,0.666667,12,8,4,0,1,dragapult_auto_life_2 ogerpon_auto_rockyhelmet_5 okidogi_auto_assaultvest_1 scream_tail_auto_fairyfeather_4 tatsugiri_auto_focussash_2 tyranitar_auto_weaknesspolicy_3,"{""auto_iter_2_model"": 1}"
16,0.629630,27,17,10,0,3,flutter_mane_main_booster gholdengo_auto_leftovers_1 landorus_therian_auto_choiceband_1 tornadus_main_sash urshifu_auto_focussash_1 urshifu_rs_main_scarf,"{""catalog"": 3}"
17,0.629630,27,17,10,0,3,entei_auto_assaultvest_1 flutter_mane_main_booster raging_bolt_auto_boosterenergy_1 thundurus_auto_sitrus_1 torkoal_auto_charcoal_1 walking_wake_auto_life_1,"{""catalog"": 3}"
18,0.629630,27,17,10,0,3,flutter_mane_main_booster incineroar_main_goggles iron_bundle_auto_boosterenergy_1 landorus_main_lo_steel ninetales_alola_auto_lightclay_1 raging_bolt_auto_boosterenergy_1,"{""catalog"": 3}"
19,0.592593,27,16,11,0,3,chien_pao_auto_focussash_1 flutter_mane_main_booster incineroar_main_goggles raging_bolt_auto_boosterenergy_1 rillaboom_auto_assaultvest_1 urshifu_rs_main_scarf,"{""catalog"": 3}"
20,0.592593,27,16,11,0,3,flutter_mane_main_booster incineroar_main_goggles ogerpon_wellspring_auto_wellspringmask_1 raging_bolt_auto_boosterenergy_1 tornadus_main_sash urshifu_auto_focussash_1,"{""catalog"": 3}"
